time,lat(N),lon(E),alt
162911,4220.987,-7103.7141,30.8
162912,4220.987,-7103.7141,30.9
162913,4220.9869,-7103.714,30.9
162914,4220.9869,-7103.714,31
162915,4220.9869,-7103.714,31
162916,4220.9869,-7103.714,31.1
162917,4220.9869,-7103.714,31.1
162918,4220.9869,-7103.7141,31.2
162919,4220.9869,-7103.7141,31.2
162920,4220.9869,-7103.7141,31.3
162921,4220.9868,-7103.7141,31.4
162922,4220.9868,-7103.7141,31.4
162923,4220.9868,-7103.7141,31.5
162924,4220.9868,-7103.7141,31.5
162925,4220.9869,-7103.714,31.9
162926,4220.9868,-7103.7136,32.5
162927,4220.9868,-7103.7136,32.5
162928,4220.9868,-7103.7135,32.5
162929,4220.9868,-7103.7135,32.6
162930,4220.9868,-7103.7135,32.6
162931,4220.9868,-7103.7135,32.7
162932,4220.9868,-7103.7135,32.7
162933,4220.9868,-7103.7135,32.8
162934,4220.9868,-7103.7135,32.8
162935,4220.9868,-7103.7135,32.9
162936,4220.9868,-7103.7135,32.9
162937,4220.9868,-7103.7135,32.9
162938,4220.9868,-7103.7135,33
162939,4220.9868,-7103.7135,33
162940,4220.9868,-7103.7135,33.1
162941,4220.9868,-7103.7135,33.1
162942,4220.9868,-7103.7135,33.2
162943,4220.9868,-7103.7135,33.2
162944,4220.9868,-7103.7135,33.2
162945,4220.9872,-7103.7131,33.7
162946,4220.9874,-7103.7129,34.2
162947,4220.9877,-7103.7131,34.7
162948,4220.9875,-7103.7129,35.2
162949,4220.9871,-7103.7126,35.7
162950,4220.9865,-7103.7122,35.7
162951,4220.9862,-7103.7118,35.9
162952,4220.9862,-7103.7118,35.8
162953,4220.9859,-7103.7112,36.3
162954,4220.9857,-7103.7102,37.4
162955,4220.9854,-7103.7095,38.5
162956,4220.9848,-7103.7088,39.1
162957,4220.984,-7103.7083,39.5
162958,4220.9826,-7103.7077,40
162959,4220.9809,-7103.7077,40.1
163000,4220.9787,-7103.7079,40.5
163001,4220.9765,-7103.7087,40.9
163002,4220.974,-7103.7093,41.4
163003,4220.9712,-7103.7099,41.9
163004,4220.9679,-7103.7106,42.3
163005,4220.9632,-7103.7112,42.5
163006,4220.9582,-7103.7122,42.6
163007,4220.9534,-7103.7139,42.5
163008,4220.9478,-7103.719,43.4
163009,4220.9426,-7103.7227,44.6
163010,4220.938,-7103.7254,44.9
163011,4220.9338,-7103.7272,45.2
163012,4220.9299,-7103.7287,45.4
163013,4220.9261,-7103.73,45.5
163014,4220.9225,-7103.7312,45.8
163015,4220.919,-7103.7324,46.2
163016,4220.9156,-7103.7333,46.8
163017,4220.9132,-7103.7354,45.9
