time,lat(N),lon(E),alt
172049,4223.4132,-7104.8493,9.7
172050,4223.4132,-7104.8493,9.7
172051,4223.4132,-7104.8493,9.8
172052,4223.4132,-7104.8493,9.8
172053,4223.4132,-7104.8493,9.8
172054,4223.4132,-7104.8492,9.9
172055,4223.4132,-7104.8492,9.9
172056,4223.4131,-7104.8492,10
172057,4223.4131,-7104.8492,10
172058,4223.4131,-7104.8492,10
172059,4223.4131,-7104.8492,10.1
172100,4223.4131,-7104.8492,10.1
172101,4223.4131,-7104.8492,10.1
172102,4223.4131,-7104.8491,10.2
172103,4223.4131,-7104.8491,10.2
172104,4223.4131,-7104.8491,10.2
172105,4223.4131,-7104.8491,10.2
172106,4223.4131,-7104.8491,10.2
172107,4223.4131,-7104.8491,10.3
172108,4223.4131,-7104.8491,10.3
172109,4223.4131,-7104.8491,10.3
172110,4223.4131,-7104.8491,10.3
172111,4223.4131,-7104.8491,10.3
172112,4223.4131,-7104.849,10.4
172113,4223.4131,-7104.849,10.4
172114,4223.4131,-7104.849,10.4
172115,4223.4131,-7104.849,10.4
172116,4223.4131,-7104.849,10.4
172117,4223.4131,-7104.849,10.4
172118,4223.4131,-7104.849,10.5
172119,4223.4131,-7104.849,10.5
172120,4223.4131,-7104.849,10.5
172121,4223.4131,-7104.849,10.5
172122,4223.4131,-7104.8489,10.5
172123,4223.4131,-7104.8489,10.5
172124,4223.4131,-7104.8489,10.6
172125,4223.4131,-7104.8489,10.6
172126,4223.4131,-7104.8489,10.6
172127,4223.4131,-7104.8489,10.6
172128,4223.4131,-7104.8489,10.6
172129,4223.4131,-7104.8489,10.6
172130,4223.4131,-7104.8489,10.6
172131,4223.4131,-7104.8489,10.7
172132,4223.4131,-7104.8489,10.7
172133,4223.4131,-7104.8488,10.7
172134,4223.4131,-7104.8488,10.7
172135,4223.4131,-7104.8488,10.7
172136,4223.4131,-7104.8488,10.7
172137,4223.4131,-7104.8488,10.7
172138,4223.4131,-7104.8488,10.7
172139,4223.4131,-7104.8488,10.8
172140,4223.4131,-7104.8488,10.8
172141,4223.4131,-7104.8488,10.8
172142,4223.4131,-7104.8488,10.8
172143,4223.4131,-7104.8488,10.8
172144,4223.4131,-7104.8488,10.8
172145,4223.4131,-7104.8487,10.8
172146,4223.4131,-7104.8487,10.8
172147,4223.4131,-7104.8487,10.9
172148,4223.4131,-7104.8487,10.9
172149,4223.4131,-7104.8487,10.9
172150,4223.4131,-7104.8487,10.9
172151,4223.4131,-7104.8487,10.9
172152,4223.4131,-7104.8487,10.9
172153,4223.4131,-7104.8487,10.9
172154,4223.4131,-7104.8487,10.9
172155,4223.4131,-7104.8487,11
172156,4223.4131,-7104.8487,11
172157,4223.4131,-7104.8486,11
172158,4223.4131,-7104.8486,11
172159,4223.4131,-7104.8486,11
172200,4223.4131,-7104.8486,11
172201,4223.4131,-7104.8486,11
172202,4223.4131,-7104.8486,11
172203,4223.4131,-7104.8486,11
172204,4223.4131,-7104.8486,11.1
172205,4223.4131,-7104.8486,11.1
172206,4223.4131,-7104.8486,11.1
172207,4223.4131,-7104.8486,11.1
172208,4223.4131,-7104.8486,11.1
172209,4223.4131,-7104.8486,11.1
172210,4223.4131,-7104.8486,11.1
172211,4223.4131,-7104.8486,11.1
172212,4223.4131,-7104.8486,11.1
172213,4223.4131,-7104.8486,11.2
172214,4223.4134,-7104.8486,11.1
172215,4223.4137,-7104.8487,11.1
172216,4223.4141,-7104.8489,11.2
172217,4223.4144,-7104.849,11.4
172218,4223.4148,-7104.8492,11.5
172219,4223.4152,-7104.8495,11.6
172220,4223.4156,-7104.8497,11.8
172221,4223.416,-7104.8498,12
172222,4223.4163,-7104.8498,12.4
172223,4223.4166,-7104.8499,12.4
172224,4223.4168,-7104.8499,12.7
172225,4223.417,-7104.8499,12.8
172226,4223.417,-7104.85,12.8
172227,4223.417,-7104.85,12.7
172228,4223.4169,-7104.85,12.6
172229,4223.4165,-7104.8503,12.5
172230,4223.4157,-7104.851,12.3
172231,4223.4147,-7104.8524,12.2
172232,4223.4135,-7104.8544,12.2
172233,4223.412,-7104.8567,12
172234,4223.4104,-7104.8593,11.7
172235,4223.4089,-7104.8618,11.5
172236,4223.4074,-7104.8641,11.2
172237,4223.4059,-7104.8661,11.1
172238,4223.4044,-7104.8678,11
172239,4223.4028,-7104.869,11
172240,4223.4011,-7104.8694,10.9
172241,4223.3994,-7104.8688,10.8
172242,4223.3981,-7104.8672,10.7
172243,4223.3973,-7104.8653,10.5
172244,4223.3971,-7104.8642,10.4
172245,4223.3972,-7104.864,10.3
172246,4223.3972,-7104.8637,10.4
172247,4223.3973,-7104.8632,10.4
172248,4223.3974,-7104.8625,10.4
172249,4223.3977,-7104.8615,10.4
172250,4223.3983,-7104.8601,10.4
172251,4223.3992,-7104.8582,10.4
172252,4223.4004,-7104.856,10.5
172253,4223.4018,-7104.8537,10.5
172254,4223.4033,-7104.8515,10.6
172255,4223.4049,-7104.8494,10.6
172256,4223.4064,-7104.8474,10.6
172257,4223.4079,-7104.8455,10.5
172258,4223.4092,-7104.8438,10.7
172259,4223.4104,-7104.8422,11
172300,4223.4115,-7104.8406,11.2
172301,4223.4127,-7104.839,11.5
172302,4223.4139,-7104.8373,11.7
172303,4223.4153,-7104.8356,12
172304,4223.4167,-7104.8342,12.1
172305,4223.4182,-7104.8333,12.2
172306,4223.4198,-7104.8331,12.3
172307,4223.4213,-7104.8335,12.3
172308,4223.4226,-7104.8343,12.2
172309,4223.4237,-7104.8352,12.1
172310,4223.4245,-7104.8362,12.3
172311,4223.4249,-7104.8375,12.4
172312,4223.4249,-7104.8393,12.4
172313,4223.4242,-7104.8415,12.5
172314,4223.4228,-7104.8436,12.6
172315,4223.4209,-7104.8461,12.8
172316,4223.4189,-7104.849,12.8
172317,4223.4168,-7104.8522,13.1
172318,4223.4146,-7104.8555,13.2
172319,4223.4125,-7104.8588,13.2
172320,4223.4105,-7104.8619,13.2
172321,4223.4086,-7104.8646,13.2
172322,4223.4068,-7104.8668,13.3
172323,4223.405,-7104.8685,13.2
172324,4223.403,-7104.8694,13.3
172325,4223.401,-7104.8694,13.2
172326,4223.3992,-7104.8682,13.1
172327,4223.3979,-7104.8661,13
172328,4223.3974,-7104.8634,12.8
172329,4223.3978,-7104.8606,12.8
172330,4223.3989,-7104.858,12.7
172331,4223.4002,-7104.8555,12.7
172332,4223.4016,-7104.8531,12.7
172333,4223.403,-7104.8509,12.7
172334,4223.404,-7104.8493,12.7
172335,4223.4046,-7104.8484,12.7
172336,4223.4052,-7104.8476,12.8
172337,4223.4059,-7104.8466,12.9
172338,4223.4068,-7104.8455,13
172339,4223.4081,-7104.8441,13.1
172340,4223.4097,-7104.8423,13.2
172341,4223.4114,-7104.8402,13.4
172342,4223.4131,-7104.838,13.5
172343,4223.4148,-7104.8361,13.5
172344,4223.4165,-7104.8346,13.6
172345,4223.4182,-7104.8338,13.7
172346,4223.42,-7104.8337,13.7
172347,4223.4216,-7104.8341,13.6
172348,4223.4227,-7104.8347,13.7
172349,4223.4237,-7104.8354,13.6
172350,4223.4245,-7104.8363,13.7
172351,4223.4251,-7104.8378,13.6
172352,4223.4252,-7104.8397,13.7
172353,4223.4243,-7104.842,13.9
172354,4223.4226,-7104.8443,14
172355,4223.4206,-7104.8468,14.1
172356,4223.4184,-7104.8497,14.2
172357,4223.4162,-7104.8529,14.1
172358,4223.4141,-7104.8562,14.1
172359,4223.4119,-7104.8594,14.1
172400,4223.41,-7104.8624,14.2
172401,4223.4082,-7104.8651,14.2
172402,4223.4064,-7104.8672,14.1
172403,4223.4045,-7104.8687,14
172404,4223.4024,-7104.8694,14
172405,4223.4002,-7104.869,13.8
172406,4223.3984,-7104.8673,13.6
172407,4223.3975,-7104.8646,13.5
172408,4223.3975,-7104.8615,13.3
172409,4223.3984,-7104.8587,13
172410,4223.3998,-7104.8561,12.8
172411,4223.4014,-7104.8537,12.7
172412,4223.4031,-7104.8512,12.7
172413,4223.405,-7104.8487,12.6
172414,4223.4068,-7104.8463,12.7
172415,4223.4086,-7104.8441,12.9
172416,4223.4102,-7104.8419,13
172417,4223.4118,-7104.8397,13.2
172418,4223.4133,-7104.8376,13.5
172419,4223.4145,-7104.836,13.7
172420,4223.4157,-7104.8348,13.9
172421,4223.4173,-7104.834,14.1
172422,4223.4192,-7104.8342,14.1
172423,4223.4212,-7104.8352,14.1
172424,4223.4233,-7104.8369,13.7
172425,4223.4254,-7104.8389,13.6
172426,4223.4273,-7104.841,13.5
172427,4223.429,-7104.8428,13.7
172428,4223.4302,-7104.8443,13.8
172429,4223.4313,-7104.8459,13.8
